Handle,Title,Body (HTML),,Type,Published
w6221r-double-take-sweat-short-dove-grey-heather,Double Take Sweat Short - Dove Grey Heather,"<p>We’ll take two! The Double Take Short is perfect for double-duty, with a cool, luxe look that works on or off the mat. Pair up this soft, French terry sweat short with a logo bra or cropped sweatshirt for an epic street look.</p>
<ul>
<li>Soft, micro French terry</li>
<li>Relaxed fit</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Bottoms:Shorts,TRUE
w6221r-double-take-sweat-short-dove-grey-heather,,,,,
w6221r-double-take-sweat-short-dove-grey-heather,,,,,
w6221r-double-take-sweat-short-dove-grey-heather,,,,,
w6221r-double-take-sweat-short-dove-grey-heather,,,,,
w6221r-double-take-sweat-short-dove-grey-heather,,,,,
w5755r-unwind-sweatpant-black,Unwind Sweatpant - Black,"<p>Update your lounge with the ultra-comfy Unwind Sweatpant, the ultimate style for out-and-about or staying in. It’s made from soft French terry, with an elastic waistband and cuffs and open side pockets. Pair it with a cozy pullover and get your chill on.</p>
<ul>
<li>Cool &amp; casual fit</li>
<li>Ultra-soft &amp; lightweight</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Bottoms:Other Bottoms,TRUE
w5755r-unwind-sweatpant-black,,,,,
w5755r-unwind-sweatpant-black,,,,,
w5755r-unwind-sweatpant-black,,,,,
w5755r-unwind-sweatpant-black,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,High-Waist Accolade Skirt - Rust,"<p>We combined your two favorite things: your Accolade set and skirts. The High-Waist Accolade Skirt is a super-comfy little number with an internal short for added coverage, side slit pockets and a smile-curve hemline. We love it with a ribbed bra or top, or paired up with a hoodie.</p>
<ul>
<li>Sweat skirt with hidden shorts &amp; side pockets</li>
<li>Smile-curve hem &amp; internal drawcords</li>
<li>Soft diagonal French terry</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Bottoms:Skirts,TRUE
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
w6244r-high-waist-accolade-sweatshirt-skirt-rust,,,,,
